# downsampled raw LIO trajectory
# t_rel	x	y	z
4.68854	-0.49400	-0.21069	-0.05152
4.68854	-0.50171	-0.21722	-0.04726
4.75447	-0.50894	-0.21650	-0.05107
4.75447	-0.54391	-0.22495	-0.06060
4.81898	-0.55080	-0.23005	-0.05875
4.81898	-0.56656	-0.24655	-0.05544
4.88410	-0.58622	-0.25618	-0.06078
4.88410	-0.60560	-0.26408	-0.06223
4.88410	-0.62111	-0.26818	-0.05724
4.94995	-0.63533	-0.27057	-0.06449
4.94995	-0.64847	-0.28010	-0.07523
5.01573	-0.67622	-0.30525	-0.07903
5.01573	-0.68288	-0.30600	-0.07284
5.08818	-0.69717	-0.30537	-0.07768
5.08818	-0.70007	-0.32150	-0.08501
5.14548	-0.71048	-0.33986	-0.07803
5.14548	-0.72747	-0.34742	-0.07210
5.21004	-0.73677	-0.34636	-0.07935
5.21004	-0.75802	-0.36554	-0.08853
5.27518	-0.75882	-0.37540	-0.08174
5.27518	-0.76886	-0.37765	-0.08061
5.34047	-0.77274	-0.37841	-0.08807
5.34047	-0.79457	-0.38874	-0.08720
5.40499	-0.80971	-0.40089	-0.07928
5.40499	-0.82372	-0.40322	-0.08317
5.47050	-0.85474	-0.40219	-0.10329
5.47050	-0.86885	-0.41235	-0.10103
5.47050	-0.86844	-0.43077	-0.09294
5.53905	-0.87831	-0.43550	-0.09833
5.53905	-0.89713	-0.44376	-0.10317
5.60047	-0.91681	-0.44736	-0.09663
5.60047	-0.92818	-0.44784	-0.09652
5.66550	-0.94304	-0.44372	-0.10720
5.66550	-0.99649	-0.45361	-0.11381
5.73239	-1.01475	-0.47023	-0.10867
5.73239	-1.02373	-0.47443	-0.11053
5.79619	-1.03708	-0.47328	-0.12095
5.79619	-1.05404	-0.48181	-0.11577
5.86142	-1.07032	-0.49491	-0.11075
5.86142	-1.08979	-0.49568	-0.11762
5.92650	-1.04690	-0.50470	-0.10795
5.92650	-1.04726	-0.48227	-0.10942
5.99198	-1.04664	-0.47875	-0.11012
5.99198	-1.05275	-0.47258	-0.12053
6.05608	-1.02781	-0.47115	-0.11648
6.05608	-1.01583	-0.44709	-0.11357
6.12197	-1.01293	-0.44150	-0.11666
6.12197	-0.98541	-0.42143	-0.11665
6.18655	-0.97587	-0.40826	-0.11519
6.18655	-0.97503	-0.39118	-0.11413
6.25176	-0.97383	-0.38296	-0.12165
6.25176	-0.95745	-0.36885	-0.12851
6.31748	-0.95442	-0.35498	-0.12673
6.31748	-0.94566	-0.35367	-0.12258
6.38244	-0.93514	-0.34445	-0.12448
6.38244	-0.92371	-0.33575	-0.13234
6.44747	-0.91391	-0.30902	-0.13183
6.44747	-0.90768	-0.29655	-0.13400
6.51296	-0.90048	-0.28875	-0.13149
6.51296	-0.89766	-0.27334	-0.13652
6.57747	-0.89193	-0.25236	-0.13392
6.57747	-0.89238	-0.24380	-0.13570
6.57747	-0.87738	-0.21683	-0.14303
6.64317	-0.87784	-0.19804	-0.14344
6.64317	-0.86733	-0.18037	-0.14034
6.70915	-0.86836	-0.16387	-0.14122
6.70915	-0.86631	-0.14626	-0.14946
